,Tweet,Affect Dimension,emojis,Emoji Sentiment,puretext,c_emojis,stweets
41626,stupidity cultural identity  😠 ,0,😠,-1.0,stupidity cultural identity   ,😠,stupidity cultural identity   😠  
41628,the sound rain pretty peaceful mood  😅 ,0,😅,1.0,the sound rain pretty peaceful mood   ,😅,the sound rain pretty peaceful mood   😅  
41629,working hard social feel amazing  💕 ,0,💕,0.0,working hard social feel amazing   ,💕,working hard social feel amazing   💕  
41636,worst  😥 ,0,😥,-0.5,worst   ,😥,worst   😥  
41640,man i feel like crap today  😰 ,0,😰,-1.0,man i feel like crap today   ,😰,man i feel like crap today   😰  
41648,imagine crying right getting  😭  meanwhile dont chance war  😭 ,0,😭 😭,-1.0,imagine crying right getting    meanwhile dont chance war   ,😭 😭,imagine crying right getting   😭   meanwhile dont chance war   😭  
41653,did men shy mean so i reassure making sure good investment  🙄 ,0,🙄,-0.5,did men shy mean so i reassure making sure good investment   ,,did men shy mean so i reassure making sure good investment   🙄  
41655,the way twitter work little alarming  🤦🏾‍♀️ ,0,🤦 🏾 ♀,0.0,the way twitter work little alarming  ‍️ ,,the way twitter work little alarming   🤦  🏾 ‍ ♀ ️ 
41664,the disappointment actually new club sponsor  😂 ,0,😂,1.0,the disappointment actually new club sponsor   ,😂,the disappointment actually new club sponsor   😂  
41672,its horror like  ☺️ ,0,☺,0.0,its horror like  ️ ,☺,its horror like   ☺ ️ 
41675,ass  😤 ,0,😤,-1.0,ass   ,😤,ass   😤  
41678,head hurting  😤 ,0,😤,-1.0,head hurting   ,😤,head hurting   😤  
41683,unhappy unfulfilled  😂 ,0,😂,1.0,unhappy unfulfilled   ,😂,unhappy unfulfilled   😂  
41687,sext horny ass naughty pussy  😩  horny snap,0,😩,-1.0,sext horny ass naughty pussy    horny snap,😩,sext horny ass naughty pussy   😩   horny snap
41695,just couple new found glory great start birthday weekend  👊 ,0,👊,0.0,just couple new found glory great start birthday weekend   ,,just couple new found glory great start birthday weekend   👊  
41717,intruder alarm going set  🙈 ,0,🙈,0.0,intruder alarm going set   ,,intruder alarm going set   🙈  
41721, 🚨  care ring  🚲  n,0,🚨 🚲,0.0,   care ring    n,,  🚨   care ring   🚲   n
41734,like i set car long gone  😭 ,0,😭,-1.0,like i set car long gone   ,😭,like i set car long gone   😭  
41746,everything i order comes looking like piece  😤 ,0,😤,-1.0,everything i order comes looking like piece   ,😤,everything i order comes looking like piece   😤  
41760,sir need umbrella today evening sun pave way  😟 ,0,😟,-1.0,sir need umbrella today evening sun pave way   ,,sir need umbrella today evening sun pave way   😟  
41785, 😉  dull,0,😉,0.125,   dull,😉,  😉   dull
41804,time seeing today cancel meet greet storm were soaked  😡 ,0,😡,-1.0,time seeing today cancel meet greet storm were soaked   ,😡,time seeing today cancel meet greet storm were soaked   😡  
41813,tweet grammatical error  😱 ,0,😱,-1.0,tweet grammatical error   ,😱,tweet grammatical error   😱  
41825,went bed fell asleep niece crying dying  😧 ,0,😧,-1.0,went bed fell asleep niece crying dying   ,😧,went bed fell asleep niece crying dying   😧  
41827,i temper chill dear dont i worry u sorry  😫 ,0,😫,-1.0,i temper chill dear dont i worry u sorry   ,😫,i temper chill dear dont i worry u sorry   😫  
41840,she mad hung  😂 ,0,😂,1.0,she mad hung   ,😂,she mad hung   😂  
41857,governor bum love communist  😂  crying,0,😂,1.0,governor bum love communist    crying,😂,governor bum love communist   😂   crying
41859,not sadly  😪 ,0,😪,-0.5,not sadly   ,😪,not sadly   😪  
41862,what miserable ass weather  😭  dark gloomy depressing,0,😭,-1.0,what miserable ass weather    dark gloomy depressing,😭,what miserable ass weather   😭   dark gloomy depressing
41874,twitter days massive critical debate people dont like annoying depressing dull  😑 ,0,😑,0.0,twitter days massive critical debate people dont like annoying depressing dull   ,😑,twitter days massive critical debate people dont like annoying depressing dull   😑  
41898,work going kill oclock near  😟 ,0,😟,-1.0,work going kill oclock near   ,,work going kill oclock near   😟  
41906,cant drink day u dont start morning drake  😛 ,0,😛,0.5,cant drink day u dont start morning drake   ,😛,cant drink day u dont start morning drake   😛  
41907,cant handle rude people doesnt matter job consultant treat people like  😡 ,0,😡,-1.0,cant handle rude people doesnt matter job consultant treat people like   ,😡,cant handle rude people doesnt matter job consultant treat people like   😡  
41911,dreadful  👀 ,0,👀,0.0,dreadful   ,,dreadful   👀  
41918,stop discourage people  🙈 ,0,🙈,0.0,stop discourage people   ,,stop discourage people   🙈  
41923,whats panic  😃 ,0,😃,1.0,whats panic   ,😃,whats panic   😃  
41927,i think ill eternally lit teacher  😂 ,0,😂,1.0,i think ill eternally lit teacher   ,😂,i think ill eternally lit teacher   😂  
41933,wed fuming  😡 ,0,😡,-1.0,wed fuming   ,😡,wed fuming   😡  
41936,i woke hardly believing night  😰 ,0,😰,-1.0,i woke hardly believing night   ,😰,i woke hardly believing night   😰  
41947,morning chance cheer bit bleak  😝 ,2,😝,0.5,morning chance cheer bit bleak   ,😝,morning chance cheer bit bleak   😝  
41950,best great watch u big sir tremendous boom boom  😍 ,2,😍,1.0,best great watch u big sir tremendous boom boom   ,😍,best great watch u big sir tremendous boom boom   😍  
41954,i think i tomorrow i aint ready  😥 ,2,😥,-0.5,i think i tomorrow i aint ready   ,😥,i think i tomorrow i aint ready   😥  
41956,bad talking lately  😩  like literally holding pinpoint  😞 ,2,😩 😞,-1.0,bad talking lately    like literally holding pinpoint   ,😩,bad talking lately   😩   like literally holding pinpoint   😞  
41962, 🙁 ,2,🙁,-0.5,  ,,  🙁  
41966,really  😢 ,2,😢,-1.0,really   ,😢,really   😢  
41969,should i change layout this pretty depressed  😂 ,2,😂,1.0,should i change layout this pretty depressed   ,😂,should i change layout this pretty depressed   😂  
41976,sometimes let drop realize tough times temporary pick stop wishing start  😢 ,2,😢,-1.0,sometimes let drop realize tough times temporary pick stop wishing start   ,😢,sometimes let drop realize tough times temporary pick stop wishing start   😢  
41977,then dont disappoint  😂 ,2,😂,1.0,then dont disappoint   ,😂,then dont disappoint   😂  
41980,what i lost i think i shall return tho  📌 ,2,📌,0.0,what i lost i think i shall return tho   ,,what i lost i think i shall return tho   📌  
41996,horrible interview u talk paper bag u dont buy crap coming ur mouth  👎 ,2,👎,0.0,horrible interview u talk paper bag u dont buy crap coming ur mouth   ,,horrible interview u talk paper bag u dont buy crap coming ur mouth   👎  
41998,dont  😦  prefer,2,😦,-0.5,dont    prefer,😦,dont   😦   prefer
42006,would love stop crying today tenth  🙄  deep sadness food poisoning mix miserable,2,🙄,-0.5,would love stop crying today tenth    deep sadness food poisoning mix miserable,,would love stop crying today tenth   🙄   deep sadness food poisoning mix miserable
42010,i today i time drop nice  😢 ,2,😢,-1.0,i today i time drop nice   ,😢,i today i time drop nice   😢  
42012,low key molly like point prove  😂  insecure,2,😂,1.0,low key molly like point prove    insecure,😂,low key molly like point prove   😂   insecure
42013,death family  😢 ,2,😢,-1.0,death family   ,😢,death family   😢  
42014,i need encouragement right  😥 ,2,😥,-0.5,i need encouragement right   ,😥,i need encouragement right   😥  
42017,i didnt we went got local instead  😄 ,2,😄,1.0,i didnt we went got local instead   ,😄,i didnt we went got local instead   😄  
42020,bitch  😂  high horse miserable,2,😂,1.0,bitch    high horse miserable,😂,bitch   😂   high horse miserable
42037,sadness  💔  dad understand child,2,💔,0.0,sadness    dad understand child,💔,sadness   💔   dad understand child
42056,i hope dont animosity new  🙇🏽‍♀️ ,2,🙇 🏽 ♀,0.0,i hope dont animosity new  ‍️ ,,i hope dont animosity new   🙇  🏽 ‍ ♀ ️ 
42057,i dont room  😟 ,2,😟,-1.0,i dont room   ,,i dont room   😟  
42058,time watch  😟 ,2,😟,-1.0,time watch   ,,time watch   😟  
42059, ☹ ,2,☹,0.0,  ,☹,  ☹  
42077, ☹ ,2,☹,0.0,  ,☹,  ☹  
42080,what tiring day  😧 ,2,😧,-1.0,what tiring day   ,😧,what tiring day   😧  
42087,my innocent  😭 ,2,😭,-1.0,my innocent   ,😭,my innocent   😭  
42088,productive morning  😥 ,2,😥,-0.5,productive morning   ,😥,productive morning   😥  
42094,finally  😭 ,2,😭,-1.0,finally   ,😭,finally   😭  
42097,grieve loss  💔 ,2,💔,0.0,grieve loss   ,💔,grieve loss   💔  
42100,i stayed night house early morning like fell asleep so guess time  😪 ,2,😪,-0.5,i stayed night house early morning like fell asleep so guess time   ,😪,i stayed night house early morning like fell asleep so guess time   😪  
42105,the tonight man  😂  crying,2,😂,1.0,the tonight man    crying,😂,the tonight man   😂   crying
42108,bout  😭  i sleep i hate job  😩 ,2,😭 😩,-1.0,bout    i sleep i hate job   ,😭 😩,bout   😭   i sleep i hate job   😩  
42111,blocked snap upsetting  ☹️ ,2,☹,0.0,blocked snap upsetting  ️ ,☹,blocked snap upsetting   ☹ ️ 
42116,i wonder  😂 ,2,😂,1.0,i wonder   ,😂,i wonder   😂  
42124,i miss badly  😢 ,2,😢,-1.0,i miss badly   ,😢,i miss badly   😢  
42128,stated home day eat sleep chest body aching  😥 ,2,😥,-0.5,stated home day eat sleep chest body aching   ,😥,stated home day eat sleep chest body aching   😥  
42129,hate tan refuse tan salon  🙄 ,2,🙄,-0.5,hate tan refuse tan salon   ,,hate tan refuse tan salon   🙄  
42136,looking good news finding twitter bummer  😢  depressing,2,😢,-1.0,looking good news finding twitter bummer    depressing,😢,looking good news finding twitter bummer   😢   depressing
42140,but sadly busy new drama  😞 ,2,😞,-1.0,but sadly busy new drama   ,,but sadly busy new drama   😞  
42151,unhappy worry replacement  😃 ,2,😃,1.0,unhappy worry replacement   ,😃,unhappy worry replacement   😃  
42159,terrific hope  😴  it crushing defeat he dejected,2,😴,0.0,terrific hope    it crushing defeat he dejected,,terrific hope   😴   it crushing defeat he dejected
42161,ha  🙃  ha  🙃  actually therapy dont know depressed sad time,2,🙃 🙃,0.5,ha    ha    actually therapy dont know depressed sad time,,ha   🙃   ha   🙃   actually therapy dont know depressed sad time
42162,u expect love unhappy  😌 ,2,😌,0.5,u expect love unhappy   ,😌,u expect love unhappy   😌  
42169,debut disappointing maybe year finally  😅 ,2,😅,1.0,debut disappointing maybe year finally   ,😅,debut disappointing maybe year finally   😅  
42171, 😧 ,2,😧,-1.0,  ,😧,  😧  
42175,duty  😧 ,2,😧,-1.0,duty   ,😧,duty   😧  
42188,i aint gold heart snap chat long  😐  depressing,2,😐,0.0,i aint gold heart snap chat long    depressing,😐,i aint gold heart snap chat long   😐   depressing
42189,i think i anger  😐 ,2,😐,0.0,i think i anger   ,😐,i think i anger   😐  
42198,hair i suddenly thought leg hair curly jeans  😦 ,2,😦,-0.5,hair i suddenly thought leg hair curly jeans   ,😦,hair i suddenly thought leg hair curly jeans   😦  
42206,sorry upset main draw biggest star  😂 ,2,😂,1.0,sorry upset main draw biggest star   ,😂,sorry upset main draw biggest star   😂  
42209, 😟 ,2,😟,-1.0,  ,,  😟  
42215,watching insecure bitch cheating loyal ass and breakfast stay happy  🙄 ,2,🙄,-0.5,watching insecure bitch cheating loyal ass and breakfast stay happy   ,,watching insecure bitch cheating loyal ass and breakfast stay happy   🙄  
42217,battery drain red hot  🙁 ,2,🙁,-0.5,battery drain red hot   ,,battery drain red hot   🙁  
42225,its grim  😝 ,2,😝,0.5,its grim   ,😝,its grim   😝  
42247,looking phone  😧 ,2,😧,-1.0,looking phone   ,😧,looking phone   😧  
42259,strapless wedding look awful people hough great  👌🏼 ,2,👌 🏼,0.0,strapless wedding look awful people hough great   ,,strapless wedding look awful people hough great   👌  🏼  
42260,the fact i instead laid bed watching kyle making  😭 ,2,😭,-1.0,the fact i instead laid bed watching kyle making   ,😭,the fact i instead laid bed watching kyle making   😭  
42262,once ill graduate i hope ill time start learning long  😢 ,2,😢,-1.0,once ill graduate i hope ill time start learning long   ,😢,once ill graduate i hope ill time start learning long   😢  
42271,feel  😭  favorite,2,😭,-1.0,feel    favorite,😭,feel   😭   favorite
42276,hate careless  ☹ ,2,☹,0.0,hate careless   ,☹,hate careless   ☹  
42278,upset  😭 ,2,😭,-1.0,upset   ,😭,upset   😭  
42281,are u wow  😳 ,2,😳,0.0,are u wow   ,,are u wow   😳  
42296,man  😡  face head hurting,2,😡,-1.0,man    face head hurting,😡,man   😡   face head hurting
42299,stopped selling pepper  😦  good thing cloud,2,😦,-0.5,stopped selling pepper    good thing cloud,😦,stopped selling pepper   😦   good thing cloud
42300,so exhausted i  😭 ,2,😭,-1.0,so exhausted i   ,😭,so exhausted i   😭  
42301,goddess poor girl  🙁 ,2,🙁,-0.5,goddess poor girl   ,,goddess poor girl   🙁  
42309,all great news hurting folk happy  😊 ,2,😊,0.5,all great news hurting folk happy   ,😊,all great news hurting folk happy   😊  
42310, 😭 ,2,😭,-1.0,  ,😭,  😭  
42311,it wasnt enough  😢 ,2,😢,-1.0,it wasnt enough   ,😢,it wasnt enough   😢  
42314,sorry i dont know i know  😂  but sadly it wont create account,2,😂,1.0,sorry i dont know i know    but sadly it wont create account,😂,sorry i dont know i know   😂   but sadly it wont create account
42317,i thought cried relative death know truth i burst  😂 ,2,😂,1.0,i thought cried relative death know truth i burst   ,😂,i thought cried relative death know truth i burst   😂  
42322,oh jumper turned colder  😟  have terrific,2,😟,-0.125,oh jumper turned colder    have terrific,,oh jumper turned colder   😟   have terrific
42327, ☹ ,2,☹,0.0,  ,☹,  ☹  
42340,girl on teen screaming dilated  😭  i i wouldnt water,2,😭,-1.0,girl on teen screaming dilated    i i wouldnt water,😭,girl on teen screaming dilated   😭   i i wouldnt water
42341,longer personal its business accept i miss old days  ☹ ,2,☹,0.0,longer personal its business accept i miss old days   ,☹,longer personal its business accept i miss old days   ☹  
42346,have occupational place drug test yet dont know heck going just great blah  😡 ,2,😡,-1.0,have occupational place drug test yet dont know heck going just great blah   ,😡,have occupational place drug test yet dont know heck going just great blah   😡  
42359,today great start  🙄 ,2,🙄,-0.5,today great start   ,,today great start   🙄  
42361,offense love k culture u love want  💖  personally want know,2,💖,0.0,offense love k culture u love want    personally want know,💖,offense love k culture u love want   💖   personally want know
42365,ya time i like hey daddy queue i wild growth like nice try lulu abuser  😞 ,2,😞,-1.0,ya time i like hey daddy queue i wild growth like nice try lulu abuser   ,,ya time i like hey daddy queue i wild growth like nice try lulu abuser   😞  
42367,man i hate i aint watch  😤 ,2,😤,-1.0,man i hate i aint watch   ,😤,man i hate i aint watch   😤  
42396,ah thats neat idea check depressed tho  🤣 ,2,🤣,1.0,ah thats neat idea check depressed tho   ,,ah thats neat idea check depressed tho   🤣  
42400,they days bleak  😬 ,2,😬,-0.5,they days bleak   ,😬,they days bleak   😬  
42411,i dreamt dog snoopy came life man i miss dog  🙁 ,2,🙁,-0.5,i dreamt dog snoopy came life man i miss dog   ,,i dreamt dog snoopy came life man i miss dog   🙁  
42415,phone got gone  😥 ,2,😥,-0.5,phone got gone   ,😥,phone got gone   😥  
42425,hangout  ☹ ,2,☹,0.0,hangout   ,☹,hangout   ☹  
42427,i want friendship group like  😧 ,2,😧,-1.0,i want friendship group like   ,😧,i want friendship group like   😧  
42433,photo tho  😂  anyways rarely u hope close  💕 ,2,😂 💕,0.5,photo tho    anyways rarely u hope close   ,😂 💕,photo tho   😂   anyways rarely u hope close   💕  
42434,video na  😟 ,2,😟,-1.0,video na   ,,video na   😟  
42437,sick w my ex na getting crap you like month  😂 ,2,😂,1.0,sick w my ex na getting crap you like month   ,😂,sick w my ex na getting crap you like month   😂  
42439, 😧 ,2,😧,-1.0,  ,😧,  😧  
42443,its let hurt  🤗  thats hugging ya bitter ass,2,🤗,0.875,its let hurt    thats hugging ya bitter ass,,its let hurt   🤗   thats hugging ya bitter ass
42458,i told bad choice  😕  wish stayed away,2,😕,-0.5,i told bad choice    wish stayed away,😕,i told bad choice   😕   wish stayed away
42461,wishing i mouth  😩  help naughty bad,2,😩,-1.0,wishing i mouth    help naughty bad,😩,wishing i mouth   😩   help naughty bad
42468,i happen  😟 ,2,😟,-1.0,i happen   ,,i happen   😟  
42481,probably choice frankly kind  😲 ,2,😲,0.0,probably choice frankly kind   ,,probably choice frankly kind   😲  
42482,air disrespectful  😡 ,2,😡,-1.0,air disrespectful   ,😡,air disrespectful   😡  
42498,amazing people hear  😘 ,2,😘,1.0,amazing people hear   ,😘,amazing people hear   😘  
42501,you wrong dont fret  😟 ,2,😟,-1.0,you wrong dont fret   ,,you wrong dont fret   😟  
42506,strong  😂 ,2,😂,1.0,strong   ,😂,strong   😂  
42513,she  😭 ,2,😭,-1.0,she   ,😭,she   😭  
42517,easy unhappy  😐 ,2,😐,0.0,easy unhappy   ,😐,easy unhappy   😐  
42528,forest end getting lost  😂 ,2,😂,1.0,forest end getting lost   ,😂,forest end getting lost   😂  
42530,pound despite because idiocy arrogance  ☹️ ,2,☹,0.0,pound despite because idiocy arrogance  ️ ,☹,pound despite because idiocy arrogance   ☹ ️ 
42536,fan i hate joe buck glad old  😂  bitter,2,😂,1.0,fan i hate joe buck glad old    bitter,😂,fan i hate joe buck glad old   😂   bitter
42538, 😆  point happen simultaneously its disappointing,2,😆,1.0,   point happen simultaneously its disappointing,😆,  😆   point happen simultaneously its disappointing
42547,i graduated yesterday family job got  😂  nightmare,2,😂,1.0,i graduated yesterday family job got    nightmare,😂,i graduated yesterday family job got   😂   nightmare
42560,want  🙁 ,2,🙁,-0.5,want   ,,want   🙁  
42564,to spread cheer dull life its like hey dude u got  😜 ,2,😜,0.5,to spread cheer dull life its like hey dude u got   ,😜,to spread cheer dull life its like hey dude u got   😜  
42574, 😟 ,2,😟,-1.0,  ,,  😟  
42577,i think i post gay weekend blues i bought dildo  👍🏻 ,2,👍 🏻,0.0,i think i post gay weekend blues i bought dildo   ,,i think i post gay weekend blues i bought dildo   👍  🏻  
42578,die anatomy lab i guess  🤷‍♀️  rip,2,🤷 ♀,0.0,die anatomy lab i guess  ‍️  rip,,die anatomy lab i guess   🤷 ‍ ♀ ️  rip
42586,rose gold come  😭 ,2,😭,-1.0,rose gold come   ,😭,rose gold come   😭  
42589,i hung manager night  😭 ,2,😭,-1.0,i hung manager night   ,😭,i hung manager night   😭  
42604,dear fellow fall despair soon drink beer end  🐬 ,2,🐬,0.0,dear fellow fall despair soon drink beer end   ,,dear fellow fall despair soon drink beer end   🐬  
42610,i lots roller skate new different sizes every single screw  😭 ,2,😭,-1.0,i lots roller skate new different sizes every single screw   ,😭,i lots roller skate new different sizes every single screw   😭  
42614,feel like downcast  😶 ,2,😶,0.0,feel like downcast   ,,feel like downcast   😶  
42615,hope  ☹ ,2,☹,0.0,hope   ,☹,hope   ☹  
42621,want  😢 ,2,😢,-1.0,want   ,😢,want   😢  
42632,point sa di jud di jud  ☹  ga ta  😭 ,2,☹ 😭,-0.5,point sa di jud di jud    ga ta   ,☹ 😭,point sa di jud di jud   ☹   ga ta   😭  
42633,getting work harder doesnt  🙁 ,2,🙁,-0.5,getting work harder doesnt   ,,getting work harder doesnt   🙁  
42639,week trend deep joy i dreadful  💤 ,2,💤,0.0,week trend deep joy i dreadful   ,,week trend deep joy i dreadful   💤  
42643,and let depression stage  🙃 ,2,🙃,0.5,and let depression stage   ,,and let depression stage   🙃  
42646,i mico  😭 ,2,😭,-1.0,i mico   ,😭,i mico   😭  
42650,work today  😥 ,2,😥,-0.5,work today   ,😥,work today   😥  
42656,bad food  😂 ,2,😂,1.0,bad food   ,😂,bad food   😂  
42664,post vacation blues real  😔 ,2,😔,-1.0,post vacation blues real   ,😔,post vacation blues real   😔  
42665,still school  🙁 ,2,🙁,-0.5,still school   ,,still school   🙁  
42667, 😦 ,2,😦,-0.5,  ,😦,  😦  
42670,fell sofa laughing point the wee jump  😭 ,2,😭,-1.0,fell sofa laughing point the wee jump   ,😭,fell sofa laughing point the wee jump   😭  
42674,why everyone better  😡  disappointment lately,2,😡,-1.0,why everyone better    disappointment lately,😡,why everyone better   😡   disappointment lately
42676,i day corner i think  😭 ,2,😭,-1.0,i day corner i think   ,😭,i day corner i think   😭  
42680,man old  😧 ,2,😧,-1.0,man old   ,😧,man old   😧  
42688,people worst going tell i know bout life thats i i care  😤 ,2,😤,-1.0,people worst going tell i know bout life thats i i care   ,😤,people worst going tell i know bout life thats i i care   😤  
42693,strawberry black current  🙁 ,2,🙁,-0.5,strawberry black current   ,,strawberry black current   🙁  
42694, 😢 ,2,😢,-1.0,  ,😢,  😢  
42698,dont hope  😧  dont want,2,😧,-1.0,dont hope    dont want,😧,dont hope   😧   dont want
42702,school  😧  good night,2,😧,-1.0,school    good night,😧,school   😧   good night
42706,na si jasper  💙  dull boy  💗 ,2,💙 💗,0.0,na si jasper    dull boy   ,,na si jasper   💙   dull boy   💗  
42707,do fall asleep set alarm lord wakes time anyways  🙌🏻 ,2,🙌 🏻,0.0,do fall asleep set alarm lord wakes time anyways   ,,do fall asleep set alarm lord wakes time anyways   🙌  🏻  
42713,poor dogs have bite sun bitch  😠 ,2,😠,-1.0,poor dogs have bite sun bitch   ,😠,poor dogs have bite sun bitch   😠  
42722,i gotten apartment  😭 ,2,😭,-1.0,i gotten apartment   ,😭,i gotten apartment   😭  
42727,sorry hear mark  😢 ,2,😢,-1.0,sorry hear mark   ,😢,sorry hear mark   😢  
42729,if miserable  😂 ,2,😂,1.0,if miserable   ,😂,if miserable   😂  
42737,id leave couch excited weary  ❤️ ,2,❤,0.0,id leave couch excited weary  ️ ,❤,id leave couch excited weary   ❤ ️ 
42739,when working shopping prime instead  😦 ,2,😦,-0.5,when working shopping prime instead   ,😦,when working shopping prime instead   😦  
42744,i miss  🙁  as soon morgan gone ill hope  🙂 ,2,🙁 🙂,0.0,i miss    as soon morgan gone ill hope   ,,i miss   🙁   as soon morgan gone ill hope   🙂  
42749,got game  😦 ,2,😦,-0.5,got game   ,😦,got game   😦  
42752,my heart hurting i pour milk  😭 ,2,😭,-1.0,my heart hurting i pour milk   ,😭,my heart hurting i pour milk   😭  
42763,when they put kiwi n strawberry together wept  😢 ,2,😢,-1.0,when they put kiwi n strawberry together wept   ,😢,when they put kiwi n strawberry together wept   😢  
42767,i wished  😭 ,2,😭,-1.0,i wished   ,😭,i wished   😭  
42776,mean craving hungry bad girl  😭 ,2,😭,-1.0,mean craving hungry bad girl   ,😭,mean craving hungry bad girl   😭  
42777,yip coz miserable huffy  😊 ,2,😊,0.5,yip coz miserable huffy   ,😊,yip coz miserable huffy   😊  
42778,this heartbreaking  😭 ,2,😭,-1.0,this heartbreaking   ,😭,this heartbreaking   😭  
42789,getting mad like like  🤣 ,2,🤣,1.0,getting mad like like   ,,getting mad like like   🤣  
42795,hello u  ☹ ,2,☹,0.0,hello u   ,☹,hello u   ☹  
42796, 😭  trying  😭 ,2,😭 😭,-1.0,   trying   ,😭 😭,  😭   trying   😭  
42809,you know chose good husband lunch early morning  💞 ,2,💞,0.0,you know chose good husband lunch early morning   ,,you know chose good husband lunch early morning   💞  
42817,weather mood  ☔  miserable,2,☔,0.0,weather mood    miserable,,weather mood   ☔   miserable
42822,dont  😂  let read time tho  💁 ,2,😂 💁,0.5,dont    let read time tho   ,😂,dont   😂   let read time tho   💁  
42824,jay z came retirement drop album year sink have great day  🙌🏿 ,2,🙌 🏿,0.0,jay z came retirement drop album year sink have great day   ,,jay z came retirement drop album year sink have great day   🙌  🏿  
42827,free day national chicken day got squeeze  😧 ,2,😧,-1.0,free day national chicken day got squeeze   ,😧,free day national chicken day got squeeze   😧  
42829, 😚 ,2,😚,0.0,  ,,  😚  
42836,i hope didnt scare people figure midnight  😂 ,2,😂,1.0,i hope didnt scare people figure midnight   ,😂,i hope didnt scare people figure midnight   😂  
42837,dull moment u  💕 ,2,💕,0.0,dull moment u   ,💕,dull moment u   💕  
42840,ready they hurting  😭 ,2,😭,-1.0,ready they hurting   ,😭,ready they hurting   😭  
42843,extra lazy today  😟 ,2,😟,-1.0,extra lazy today   ,,extra lazy today   😟  
42846,my main concern wife thats stuck strong  😟 ,2,😟,-1.0,my main concern wife thats stuck strong   ,,my main concern wife thats stuck strong   😟  
42848,great selected  🙁 ,2,🙁,-0.5,great selected   ,,great selected   🙁  
42850,this time i  😥 ,2,😥,-0.5,this time i   ,😥,this time i   😥  
42852,head hurting  😭 ,2,😭,-1.0,head hurting   ,😭,head hurting   😭  
42858,immortal blues  ♥ ,2,♥,0.0,immortal blues   ,♥,immortal blues   ♥  
42862,read laying sort forget boiling sun sweat poring face  🙌 ,2,🙌,0.0,read laying sort forget boiling sun sweat poring face   ,,read laying sort forget boiling sun sweat poring face   🙌  
42872,i crying i got work morning love why worked  😭 ,2,😭,-1.0,i crying i got work morning love why worked   ,😭,i crying i got work morning love why worked   😭  
42873,knew tulip i married  😧  preacher,2,😧,-1.0,knew tulip i married    preacher,😧,knew tulip i married   😧   preacher
42877,i start anyways fluent language  ☹ ,2,☹,0.0,i start anyways fluent language   ,☹,i start anyways fluent language   ☹  
42888,watching night smoke tense sound effects lively commentary boring dull  🙈 ,2,🙈,0.0,watching night smoke tense sound effects lively commentary boring dull   ,,watching night smoke tense sound effects lively commentary boring dull   🙈  
42891,grim  😩 ,2,😩,-1.0,grim   ,😩,grim   😩  
42895,i woke moody gon die today  😠 ,2,😠,-1.0,i woke moody gon die today   ,😠,i woke moody gon die today   😠  
42898,early thats interesting  😦  wonder it excited,2,😦,-0.5,early thats interesting    wonder it excited,😦,early thats interesting   😦   wonder it excited
42900, 🤦🏻‍♀️  we and basically choice trump pence al  🤢 ,2,🤦 🏻 ♀ 🤢,-0.25, ‍️  we and basically choice trump pence al   ,,  🤦  🏻 ‍ ♀ ️  we and basically choice trump pence al   🤢  
42903,me start semester mids passing quit  😡 ,2,😡,-1.0,me start semester mids passing quit   ,😡,me start semester mids passing quit   😡  
42913,my neck hurting  😥 ,2,😥,-0.5,my neck hurting   ,😥,my neck hurting   😥  
59859,went bed fell asleep niece crying dying  😧 ,2,😧,-1.0,went bed fell asleep niece crying dying   ,😧,went bed fell asleep niece crying dying   😧  
59862,stop discourage people  🙈 ,2,🙈,0.0,stop discourage people   ,,stop discourage people   🙈  
59863,u lucky ahu  😭 ,2,😭,-1.0,u lucky ahu   ,😭,u lucky ahu   😭  
59864,wed fuming  😡 ,2,😡,-1.0,wed fuming   ,😡,wed fuming   😡  
59866,head hurting  😤 ,2,😤,-1.0,head hurting   ,😤,head hurting   😤  
59883,sir need umbrella today evening sun pave way  😟 ,2,😟,-1.0,sir need umbrella today evening sun pave way   ,,sir need umbrella today evening sun pave way   😟  
59887,unhappy unfulfilled  😂 ,2,😂,1.0,unhappy unfulfilled   ,😂,unhappy unfulfilled   😂  
59892,same  ☹ ,2,☹,0.0,same   ,☹,same   ☹  
59894,loving book the power game changer if big land  🌠 ,2,🌠,0.0,loving book the power game changer if big land   ,,loving book the power game changer if big land   🌠  
59908,cant handle rude people doesnt matter job consultant treat people like  😡 ,2,😡,-1.0,cant handle rude people doesnt matter job consultant treat people like   ,😡,cant handle rude people doesnt matter job consultant treat people like   😡  
59910,worst  😥 ,2,😥,-0.5,worst   ,😥,worst   😥  
59911,hello welcome deeply sorry late greeting  😥  wishing pleasant,2,😥,-0.25,hello welcome deeply sorry late greeting    wishing pleasant,😥,hello welcome deeply sorry late greeting   😥   wishing pleasant
59916,anxious dont know worry  😶  slowly going mad,2,😶,0.0,anxious dont know worry    slowly going mad,,anxious dont know worry   😶   slowly going mad
59932,cant believe zain starting secondary year  😢 ,2,😢,-1.0,cant believe zain starting secondary year   ,😢,cant believe zain starting secondary year   😢  
59936,tweet grammatical error  😱 ,2,😱,-1.0,tweet grammatical error   ,😱,tweet grammatical error   😱  
59941,imagine walking sober  😉 ,2,😉,0.5,imagine walking sober   ,😉,imagine walking sober   😉  
59949,sext horny ass naughty pussy  😩  horny snap,2,😩,-1.0,sext horny ass naughty pussy    horny snap,😩,sext horny ass naughty pussy   😩   horny snap
