,Tweet,stweets,puretext,emojis,c_emojis,Affect Dimension
41626,stupidity cultural identity  😠 ,stupidity cultural identity   😠  ,stupidity cultural identity   ,😠,😠,0
41628,the sound rain pretty peaceful mood  😅 ,the sound rain pretty peaceful mood   😅  ,the sound rain pretty peaceful mood   ,😅,😅,0
41629,working hard social feel amazing  💕 ,working hard social feel amazing   💕  ,working hard social feel amazing   ,💕,💕,0
41636,worst  😥 ,worst   😥  ,worst   ,😥,😥,0
41640,man i feel like crap today  😰 ,man i feel like crap today   😰  ,man i feel like crap today   ,😰,😰,0
41648,imagine crying right getting  😭  meanwhile dont chance war  😭 ,imagine crying right getting   😭   meanwhile dont chance war   😭  ,imagine crying right getting    meanwhile dont chance war   ,😭 😭,😭 😭,0
41653,did men shy mean so i reassure making sure good investment  🙄 ,did men shy mean so i reassure making sure good investment   🙄  ,did men shy mean so i reassure making sure good investment   ,🙄,,0
41655,the way twitter work little alarming  🤦🏾‍♀️ ,the way twitter work little alarming   🤦  🏾 ‍ ♀ ️ ,the way twitter work little alarming  ‍️ ,🤦 🏾 ♀,,0
41664,the disappointment actually new club sponsor  😂 ,the disappointment actually new club sponsor   😂  ,the disappointment actually new club sponsor   ,😂,😂,0
41672,its horror like  ☺️ ,its horror like   ☺ ️ ,its horror like  ️ ,☺,☺,0
41675,ass  😤 ,ass   😤  ,ass   ,😤,😤,0
41678,head hurting  😤 ,head hurting   😤  ,head hurting   ,😤,😤,0
41683,unhappy unfulfilled  😂 ,unhappy unfulfilled   😂  ,unhappy unfulfilled   ,😂,😂,0
41687,sext horny ass naughty pussy  😩  horny snap,sext horny ass naughty pussy   😩   horny snap,sext horny ass naughty pussy    horny snap,😩,😩,0
41695,just couple new found glory great start birthday weekend  👊 ,just couple new found glory great start birthday weekend   👊  ,just couple new found glory great start birthday weekend   ,👊,,0
41717,intruder alarm going set  🙈 ,intruder alarm going set   🙈  ,intruder alarm going set   ,🙈,,0
41721, 🚨  care ring  🚲  n,  🚨   care ring   🚲   n,   care ring    n,🚨 🚲,,0
41734,like i set car long gone  😭 ,like i set car long gone   😭  ,like i set car long gone   ,😭,😭,0
41746,everything i order comes looking like piece  😤 ,everything i order comes looking like piece   😤  ,everything i order comes looking like piece   ,😤,😤,0
41760,sir need umbrella today evening sun pave way  😟 ,sir need umbrella today evening sun pave way   😟  ,sir need umbrella today evening sun pave way   ,😟,,0
41785, 😉  dull,  😉   dull,   dull,😉,😉,0
41804,time seeing today cancel meet greet storm were soaked  😡 ,time seeing today cancel meet greet storm were soaked   😡  ,time seeing today cancel meet greet storm were soaked   ,😡,😡,0
41813,tweet grammatical error  😱 ,tweet grammatical error   😱  ,tweet grammatical error   ,😱,😱,0
41825,went bed fell asleep niece crying dying  😧 ,went bed fell asleep niece crying dying   😧  ,went bed fell asleep niece crying dying   ,😧,😧,0
41827,i temper chill dear dont i worry u sorry  😫 ,i temper chill dear dont i worry u sorry   😫  ,i temper chill dear dont i worry u sorry   ,😫,😫,0
41840,she mad hung  😂 ,she mad hung   😂  ,she mad hung   ,😂,😂,0
41857,governor bum love communist  😂  crying,governor bum love communist   😂   crying,governor bum love communist    crying,😂,😂,0
41859,not sadly  😪 ,not sadly   😪  ,not sadly   ,😪,😪,0
41862,what miserable ass weather  😭  dark gloomy depressing,what miserable ass weather   😭   dark gloomy depressing,what miserable ass weather    dark gloomy depressing,😭,😭,0
41874,twitter days massive critical debate people dont like annoying depressing dull  😑 ,twitter days massive critical debate people dont like annoying depressing dull   😑  ,twitter days massive critical debate people dont like annoying depressing dull   ,😑,😑,0
41898,work going kill oclock near  😟 ,work going kill oclock near   😟  ,work going kill oclock near   ,😟,,0
41906,cant drink day u dont start morning drake  😛 ,cant drink day u dont start morning drake   😛  ,cant drink day u dont start morning drake   ,😛,😛,0
41907,cant handle rude people doesnt matter job consultant treat people like  😡 ,cant handle rude people doesnt matter job consultant treat people like   😡  ,cant handle rude people doesnt matter job consultant treat people like   ,😡,😡,0
41911,dreadful  👀 ,dreadful   👀  ,dreadful   ,👀,,0
41918,stop discourage people  🙈 ,stop discourage people   🙈  ,stop discourage people   ,🙈,,0
41923,whats panic  😃 ,whats panic   😃  ,whats panic   ,😃,😃,0
41927,i think ill eternally lit teacher  😂 ,i think ill eternally lit teacher   😂  ,i think ill eternally lit teacher   ,😂,😂,0
41933,wed fuming  😡 ,wed fuming   😡  ,wed fuming   ,😡,😡,0
41936,i woke hardly believing night  😰 ,i woke hardly believing night   😰  ,i woke hardly believing night   ,😰,😰,0
41947,morning chance cheer bit bleak  😝 ,morning chance cheer bit bleak   😝  ,morning chance cheer bit bleak   ,😝,😝,2
41950,best great watch u big sir tremendous boom boom  😍 ,best great watch u big sir tremendous boom boom   😍  ,best great watch u big sir tremendous boom boom   ,😍,😍,2
41954,i think i tomorrow i aint ready  😥 ,i think i tomorrow i aint ready   😥  ,i think i tomorrow i aint ready   ,😥,😥,2
41956,bad talking lately  😩  like literally holding pinpoint  😞 ,bad talking lately   😩   like literally holding pinpoint   😞  ,bad talking lately    like literally holding pinpoint   ,😩 😞,😩,2
41962, 🙁 ,  🙁  ,  ,🙁,,2
41966,really  😢 ,really   😢  ,really   ,😢,😢,2
41969,should i change layout this pretty depressed  😂 ,should i change layout this pretty depressed   😂  ,should i change layout this pretty depressed   ,😂,😂,2
41976,sometimes let drop realize tough times temporary pick stop wishing start  😢 ,sometimes let drop realize tough times temporary pick stop wishing start   😢  ,sometimes let drop realize tough times temporary pick stop wishing start   ,😢,😢,2
41977,then dont disappoint  😂 ,then dont disappoint   😂  ,then dont disappoint   ,😂,😂,2
41980,what i lost i think i shall return tho  📌 ,what i lost i think i shall return tho   📌  ,what i lost i think i shall return tho   ,📌,,2
41996,horrible interview u talk paper bag u dont buy crap coming ur mouth  👎 ,horrible interview u talk paper bag u dont buy crap coming ur mouth   👎  ,horrible interview u talk paper bag u dont buy crap coming ur mouth   ,👎,,2
41998,dont  😦  prefer,dont   😦   prefer,dont    prefer,😦,😦,2
42006,would love stop crying today tenth  🙄  deep sadness food poisoning mix miserable,would love stop crying today tenth   🙄   deep sadness food poisoning mix miserable,would love stop crying today tenth    deep sadness food poisoning mix miserable,🙄,,2
42010,i today i time drop nice  😢 ,i today i time drop nice   😢  ,i today i time drop nice   ,😢,😢,2
42012,low key molly like point prove  😂  insecure,low key molly like point prove   😂   insecure,low key molly like point prove    insecure,😂,😂,2
42013,death family  😢 ,death family   😢  ,death family   ,😢,😢,2
42014,i need encouragement right  😥 ,i need encouragement right   😥  ,i need encouragement right   ,😥,😥,2
42017,i didnt we went got local instead  😄 ,i didnt we went got local instead   😄  ,i didnt we went got local instead   ,😄,😄,2
42020,bitch  😂  high horse miserable,bitch   😂   high horse miserable,bitch    high horse miserable,😂,😂,2
42037,sadness  💔  dad understand child,sadness   💔   dad understand child,sadness    dad understand child,💔,💔,2
42056,i hope dont animosity new  🙇🏽‍♀️ ,i hope dont animosity new   🙇  🏽 ‍ ♀ ️ ,i hope dont animosity new  ‍️ ,🙇 🏽 ♀,,2
42057,i dont room  😟 ,i dont room   😟  ,i dont room   ,😟,,2
42058,time watch  😟 ,time watch   😟  ,time watch   ,😟,,2
42059, ☹ ,  ☹  ,  ,☹,☹,2
42077, ☹ ,  ☹  ,  ,☹,☹,2
42080,what tiring day  😧 ,what tiring day   😧  ,what tiring day   ,😧,😧,2
42087,my innocent  😭 ,my innocent   😭  ,my innocent   ,😭,😭,2
42088,productive morning  😥 ,productive morning   😥  ,productive morning   ,😥,😥,2
42094,finally  😭 ,finally   😭  ,finally   ,😭,😭,2
42097,grieve loss  💔 ,grieve loss   💔  ,grieve loss   ,💔,💔,2
42100,i stayed night house early morning like fell asleep so guess time  😪 ,i stayed night house early morning like fell asleep so guess time   😪  ,i stayed night house early morning like fell asleep so guess time   ,😪,😪,2
42105,the tonight man  😂  crying,the tonight man   😂   crying,the tonight man    crying,😂,😂,2
42108,bout  😭  i sleep i hate job  😩 ,bout   😭   i sleep i hate job   😩  ,bout    i sleep i hate job   ,😭 😩,😭 😩,2
42111,blocked snap upsetting  ☹️ ,blocked snap upsetting   ☹ ️ ,blocked snap upsetting  ️ ,☹,☹,2
42116,i wonder  😂 ,i wonder   😂  ,i wonder   ,😂,😂,2
42124,i miss badly  😢 ,i miss badly   😢  ,i miss badly   ,😢,😢,2
42128,stated home day eat sleep chest body aching  😥 ,stated home day eat sleep chest body aching   😥  ,stated home day eat sleep chest body aching   ,😥,😥,2
42129,hate tan refuse tan salon  🙄 ,hate tan refuse tan salon   🙄  ,hate tan refuse tan salon   ,🙄,,2
42136,looking good news finding twitter bummer  😢  depressing,looking good news finding twitter bummer   😢   depressing,looking good news finding twitter bummer    depressing,😢,😢,2
42140,but sadly busy new drama  😞 ,but sadly busy new drama   😞  ,but sadly busy new drama   ,😞,,2
42151,unhappy worry replacement  😃 ,unhappy worry replacement   😃  ,unhappy worry replacement   ,😃,😃,2
42159,terrific hope  😴  it crushing defeat he dejected,terrific hope   😴   it crushing defeat he dejected,terrific hope    it crushing defeat he dejected,😴,,2
42161,ha  🙃  ha  🙃  actually therapy dont know depressed sad time,ha   🙃   ha   🙃   actually therapy dont know depressed sad time,ha    ha    actually therapy dont know depressed sad time,🙃 🙃,,2
42162,u expect love unhappy  😌 ,u expect love unhappy   😌  ,u expect love unhappy   ,😌,😌,2
42169,debut disappointing maybe year finally  😅 ,debut disappointing maybe year finally   😅  ,debut disappointing maybe year finally   ,😅,😅,2
42171, 😧 ,  😧  ,  ,😧,😧,2
42175,duty  😧 ,duty   😧  ,duty   ,😧,😧,2
42188,i aint gold heart snap chat long  😐  depressing,i aint gold heart snap chat long   😐   depressing,i aint gold heart snap chat long    depressing,😐,😐,2
42189,i think i anger  😐 ,i think i anger   😐  ,i think i anger   ,😐,😐,2
42198,hair i suddenly thought leg hair curly jeans  😦 ,hair i suddenly thought leg hair curly jeans   😦  ,hair i suddenly thought leg hair curly jeans   ,😦,😦,2
42206,sorry upset main draw biggest star  😂 ,sorry upset main draw biggest star   😂  ,sorry upset main draw biggest star   ,😂,😂,2
42209, 😟 ,  😟  ,  ,😟,,2
42215,watching insecure bitch cheating loyal ass and breakfast stay happy  🙄 ,watching insecure bitch cheating loyal ass and breakfast stay happy   🙄  ,watching insecure bitch cheating loyal ass and breakfast stay happy   ,🙄,,2
42217,battery drain red hot  🙁 ,battery drain red hot   🙁  ,battery drain red hot   ,🙁,,2
42225,its grim  😝 ,its grim   😝  ,its grim   ,😝,😝,2
42247,looking phone  😧 ,looking phone   😧  ,looking phone   ,😧,😧,2
42259,strapless wedding look awful people hough great  👌🏼 ,strapless wedding look awful people hough great   👌  🏼  ,strapless wedding look awful people hough great   ,👌 🏼,,2
42260,the fact i instead laid bed watching kyle making  😭 ,the fact i instead laid bed watching kyle making   😭  ,the fact i instead laid bed watching kyle making   ,😭,😭,2
42262,once ill graduate i hope ill time start learning long  😢 ,once ill graduate i hope ill time start learning long   😢  ,once ill graduate i hope ill time start learning long   ,😢,😢,2
42271,feel  😭  favorite,feel   😭   favorite,feel    favorite,😭,😭,2
42276,hate careless  ☹ ,hate careless   ☹  ,hate careless   ,☹,☹,2
42278,upset  😭 ,upset   😭  ,upset   ,😭,😭,2
42281,are u wow  😳 ,are u wow   😳  ,are u wow   ,😳,,2
42296,man  😡  face head hurting,man   😡   face head hurting,man    face head hurting,😡,😡,2
42299,stopped selling pepper  😦  good thing cloud,stopped selling pepper   😦   good thing cloud,stopped selling pepper    good thing cloud,😦,😦,2
42300,so exhausted i  😭 ,so exhausted i   😭  ,so exhausted i   ,😭,😭,2
42301,goddess poor girl  🙁 ,goddess poor girl   🙁  ,goddess poor girl   ,🙁,,2
42309,all great news hurting folk happy  😊 ,all great news hurting folk happy   😊  ,all great news hurting folk happy   ,😊,😊,2
42310, 😭 ,  😭  ,  ,😭,😭,2
42311,it wasnt enough  😢 ,it wasnt enough   😢  ,it wasnt enough   ,😢,😢,2
42314,sorry i dont know i know  😂  but sadly it wont create account,sorry i dont know i know   😂   but sadly it wont create account,sorry i dont know i know    but sadly it wont create account,😂,😂,2
42317,i thought cried relative death know truth i burst  😂 ,i thought cried relative death know truth i burst   😂  ,i thought cried relative death know truth i burst   ,😂,😂,2
42322,oh jumper turned colder  😟  have terrific,oh jumper turned colder   😟   have terrific,oh jumper turned colder    have terrific,😟,,2
42327, ☹ ,  ☹  ,  ,☹,☹,2
42340,girl on teen screaming dilated  😭  i i wouldnt water,girl on teen screaming dilated   😭   i i wouldnt water,girl on teen screaming dilated    i i wouldnt water,😭,😭,2
42341,longer personal its business accept i miss old days  ☹ ,longer personal its business accept i miss old days   ☹  ,longer personal its business accept i miss old days   ,☹,☹,2
42346,have occupational place drug test yet dont know heck going just great blah  😡 ,have occupational place drug test yet dont know heck going just great blah   😡  ,have occupational place drug test yet dont know heck going just great blah   ,😡,😡,2
42359,today great start  🙄 ,today great start   🙄  ,today great start   ,🙄,,2
42361,offense love k culture u love want  💖  personally want know,offense love k culture u love want   💖   personally want know,offense love k culture u love want    personally want know,💖,💖,2
42365,ya time i like hey daddy queue i wild growth like nice try lulu abuser  😞 ,ya time i like hey daddy queue i wild growth like nice try lulu abuser   😞  ,ya time i like hey daddy queue i wild growth like nice try lulu abuser   ,😞,,2
42367,man i hate i aint watch  😤 ,man i hate i aint watch   😤  ,man i hate i aint watch   ,😤,😤,2
42396,ah thats neat idea check depressed tho  🤣 ,ah thats neat idea check depressed tho   🤣  ,ah thats neat idea check depressed tho   ,🤣,,2
42400,they days bleak  😬 ,they days bleak   😬  ,they days bleak   ,😬,😬,2
42411,i dreamt dog snoopy came life man i miss dog  🙁 ,i dreamt dog snoopy came life man i miss dog   🙁  ,i dreamt dog snoopy came life man i miss dog   ,🙁,,2
42415,phone got gone  😥 ,phone got gone   😥  ,phone got gone   ,😥,😥,2
42425,hangout  ☹ ,hangout   ☹  ,hangout   ,☹,☹,2
42427,i want friendship group like  😧 ,i want friendship group like   😧  ,i want friendship group like   ,😧,😧,2
42433,photo tho  😂  anyways rarely u hope close  💕 ,photo tho   😂   anyways rarely u hope close   💕  ,photo tho    anyways rarely u hope close   ,😂 💕,😂 💕,2
42434,video na  😟 ,video na   😟  ,video na   ,😟,,2
42437,sick w my ex na getting crap you like month  😂 ,sick w my ex na getting crap you like month   😂  ,sick w my ex na getting crap you like month   ,😂,😂,2
42439, 😧 ,  😧  ,  ,😧,😧,2
42443,its let hurt  🤗  thats hugging ya bitter ass,its let hurt   🤗   thats hugging ya bitter ass,its let hurt    thats hugging ya bitter ass,🤗,,2
42458,i told bad choice  😕  wish stayed away,i told bad choice   😕   wish stayed away,i told bad choice    wish stayed away,😕,😕,2
42461,wishing i mouth  😩  help naughty bad,wishing i mouth   😩   help naughty bad,wishing i mouth    help naughty bad,😩,😩,2
42468,i happen  😟 ,i happen   😟  ,i happen   ,😟,,2
42481,probably choice frankly kind  😲 ,probably choice frankly kind   😲  ,probably choice frankly kind   ,😲,,2
42482,air disrespectful  😡 ,air disrespectful   😡  ,air disrespectful   ,😡,😡,2
42498,amazing people hear  😘 ,amazing people hear   😘  ,amazing people hear   ,😘,😘,2
42501,you wrong dont fret  😟 ,you wrong dont fret   😟  ,you wrong dont fret   ,😟,,2
42506,strong  😂 ,strong   😂  ,strong   ,😂,😂,2
42513,she  😭 ,she   😭  ,she   ,😭,😭,2
42517,easy unhappy  😐 ,easy unhappy   😐  ,easy unhappy   ,😐,😐,2
42528,forest end getting lost  😂 ,forest end getting lost   😂  ,forest end getting lost   ,😂,😂,2
42530,pound despite because idiocy arrogance  ☹️ ,pound despite because idiocy arrogance   ☹ ️ ,pound despite because idiocy arrogance  ️ ,☹,☹,2
42536,fan i hate joe buck glad old  😂  bitter,fan i hate joe buck glad old   😂   bitter,fan i hate joe buck glad old    bitter,😂,😂,2
42538, 😆  point happen simultaneously its disappointing,  😆   point happen simultaneously its disappointing,   point happen simultaneously its disappointing,😆,😆,2
42547,i graduated yesterday family job got  😂  nightmare,i graduated yesterday family job got   😂   nightmare,i graduated yesterday family job got    nightmare,😂,😂,2
42560,want  🙁 ,want   🙁  ,want   ,🙁,,2
42564,to spread cheer dull life its like hey dude u got  😜 ,to spread cheer dull life its like hey dude u got   😜  ,to spread cheer dull life its like hey dude u got   ,😜,😜,2
42574, 😟 ,  😟  ,  ,😟,,2
42577,i think i post gay weekend blues i bought dildo  👍🏻 ,i think i post gay weekend blues i bought dildo   👍  🏻  ,i think i post gay weekend blues i bought dildo   ,👍 🏻,,2
42578,die anatomy lab i guess  🤷‍♀️  rip,die anatomy lab i guess   🤷 ‍ ♀ ️  rip,die anatomy lab i guess  ‍️  rip,🤷 ♀,,2
42586,rose gold come  😭 ,rose gold come   😭  ,rose gold come   ,😭,😭,2
42589,i hung manager night  😭 ,i hung manager night   😭  ,i hung manager night   ,😭,😭,2
42604,dear fellow fall despair soon drink beer end  🐬 ,dear fellow fall despair soon drink beer end   🐬  ,dear fellow fall despair soon drink beer end   ,🐬,,2
42610,i lots roller skate new different sizes every single screw  😭 ,i lots roller skate new different sizes every single screw   😭  ,i lots roller skate new different sizes every single screw   ,😭,😭,2
42614,feel like downcast  😶 ,feel like downcast   😶  ,feel like downcast   ,😶,,2
42615,hope  ☹ ,hope   ☹  ,hope   ,☹,☹,2
42621,want  😢 ,want   😢  ,want   ,😢,😢,2
42632,point sa di jud di jud  ☹  ga ta  😭 ,point sa di jud di jud   ☹   ga ta   😭  ,point sa di jud di jud    ga ta   ,☹ 😭,☹ 😭,2
42633,getting work harder doesnt  🙁 ,getting work harder doesnt   🙁  ,getting work harder doesnt   ,🙁,,2
42639,week trend deep joy i dreadful  💤 ,week trend deep joy i dreadful   💤  ,week trend deep joy i dreadful   ,💤,,2
42643,and let depression stage  🙃 ,and let depression stage   🙃  ,and let depression stage   ,🙃,,2
42646,i mico  😭 ,i mico   😭  ,i mico   ,😭,😭,2
42650,work today  😥 ,work today   😥  ,work today   ,😥,😥,2
42656,bad food  😂 ,bad food   😂  ,bad food   ,😂,😂,2
42664,post vacation blues real  😔 ,post vacation blues real   😔  ,post vacation blues real   ,😔,😔,2
42665,still school  🙁 ,still school   🙁  ,still school   ,🙁,,2
42667, 😦 ,  😦  ,  ,😦,😦,2
42670,fell sofa laughing point the wee jump  😭 ,fell sofa laughing point the wee jump   😭  ,fell sofa laughing point the wee jump   ,😭,😭,2
42674,why everyone better  😡  disappointment lately,why everyone better   😡   disappointment lately,why everyone better    disappointment lately,😡,😡,2
42676,i day corner i think  😭 ,i day corner i think   😭  ,i day corner i think   ,😭,😭,2
42680,man old  😧 ,man old   😧  ,man old   ,😧,😧,2
42688,people worst going tell i know bout life thats i i care  😤 ,people worst going tell i know bout life thats i i care   😤  ,people worst going tell i know bout life thats i i care   ,😤,😤,2
42693,strawberry black current  🙁 ,strawberry black current   🙁  ,strawberry black current   ,🙁,,2
42694, 😢 ,  😢  ,  ,😢,😢,2
42698,dont hope  😧  dont want,dont hope   😧   dont want,dont hope    dont want,😧,😧,2
42702,school  😧  good night,school   😧   good night,school    good night,😧,😧,2
42706,na si jasper  💙  dull boy  💗 ,na si jasper   💙   dull boy   💗  ,na si jasper    dull boy   ,💙 💗,,2
42707,do fall asleep set alarm lord wakes time anyways  🙌🏻 ,do fall asleep set alarm lord wakes time anyways   🙌  🏻  ,do fall asleep set alarm lord wakes time anyways   ,🙌 🏻,,2
42713,poor dogs have bite sun bitch  😠 ,poor dogs have bite sun bitch   😠  ,poor dogs have bite sun bitch   ,😠,😠,2
42722,i gotten apartment  😭 ,i gotten apartment   😭  ,i gotten apartment   ,😭,😭,2
42727,sorry hear mark  😢 ,sorry hear mark   😢  ,sorry hear mark   ,😢,😢,2
42729,if miserable  😂 ,if miserable   😂  ,if miserable   ,😂,😂,2
42737,id leave couch excited weary  ❤️ ,id leave couch excited weary   ❤ ️ ,id leave couch excited weary  ️ ,❤,❤,2
42739,when working shopping prime instead  😦 ,when working shopping prime instead   😦  ,when working shopping prime instead   ,😦,😦,2
42744,i miss  🙁  as soon morgan gone ill hope  🙂 ,i miss   🙁   as soon morgan gone ill hope   🙂  ,i miss    as soon morgan gone ill hope   ,🙁 🙂,,2
42749,got game  😦 ,got game   😦  ,got game   ,😦,😦,2
42752,my heart hurting i pour milk  😭 ,my heart hurting i pour milk   😭  ,my heart hurting i pour milk   ,😭,😭,2
42763,when they put kiwi n strawberry together wept  😢 ,when they put kiwi n strawberry together wept   😢  ,when they put kiwi n strawberry together wept   ,😢,😢,2
42767,i wished  😭 ,i wished   😭  ,i wished   ,😭,😭,2
42776,mean craving hungry bad girl  😭 ,mean craving hungry bad girl   😭  ,mean craving hungry bad girl   ,😭,😭,2
42777,yip coz miserable huffy  😊 ,yip coz miserable huffy   😊  ,yip coz miserable huffy   ,😊,😊,2
42778,this heartbreaking  😭 ,this heartbreaking   😭  ,this heartbreaking   ,😭,😭,2
42789,getting mad like like  🤣 ,getting mad like like   🤣  ,getting mad like like   ,🤣,,2
42795,hello u  ☹ ,hello u   ☹  ,hello u   ,☹,☹,2
42796, 😭  trying  😭 ,  😭   trying   😭  ,   trying   ,😭 😭,😭 😭,2
42809,you know chose good husband lunch early morning  💞 ,you know chose good husband lunch early morning   💞  ,you know chose good husband lunch early morning   ,💞,,2
42817,weather mood  ☔  miserable,weather mood   ☔   miserable,weather mood    miserable,☔,,2
42822,dont  😂  let read time tho  💁 ,dont   😂   let read time tho   💁  ,dont    let read time tho   ,😂 💁,😂,2
42824,jay z came retirement drop album year sink have great day  🙌🏿 ,jay z came retirement drop album year sink have great day   🙌  🏿  ,jay z came retirement drop album year sink have great day   ,🙌 🏿,,2
42827,free day national chicken day got squeeze  😧 ,free day national chicken day got squeeze   😧  ,free day national chicken day got squeeze   ,😧,😧,2
42829, 😚 ,  😚  ,  ,😚,,2
42836,i hope didnt scare people figure midnight  😂 ,i hope didnt scare people figure midnight   😂  ,i hope didnt scare people figure midnight   ,😂,😂,2
42837,dull moment u  💕 ,dull moment u   💕  ,dull moment u   ,💕,💕,2
42840,ready they hurting  😭 ,ready they hurting   😭  ,ready they hurting   ,😭,😭,2
42843,extra lazy today  😟 ,extra lazy today   😟  ,extra lazy today   ,😟,,2
42846,my main concern wife thats stuck strong  😟 ,my main concern wife thats stuck strong   😟  ,my main concern wife thats stuck strong   ,😟,,2
42848,great selected  🙁 ,great selected   🙁  ,great selected   ,🙁,,2
42850,this time i  😥 ,this time i   😥  ,this time i   ,😥,😥,2
42852,head hurting  😭 ,head hurting   😭  ,head hurting   ,😭,😭,2
42858,immortal blues  ♥ ,immortal blues   ♥  ,immortal blues   ,♥,♥,2
42862,read laying sort forget boiling sun sweat poring face  🙌 ,read laying sort forget boiling sun sweat poring face   🙌  ,read laying sort forget boiling sun sweat poring face   ,🙌,,2
42872,i crying i got work morning love why worked  😭 ,i crying i got work morning love why worked   😭  ,i crying i got work morning love why worked   ,😭,😭,2
42873,knew tulip i married  😧  preacher,knew tulip i married   😧   preacher,knew tulip i married    preacher,😧,😧,2
42877,i start anyways fluent language  ☹ ,i start anyways fluent language   ☹  ,i start anyways fluent language   ,☹,☹,2
42888,watching night smoke tense sound effects lively commentary boring dull  🙈 ,watching night smoke tense sound effects lively commentary boring dull   🙈  ,watching night smoke tense sound effects lively commentary boring dull   ,🙈,,2
42891,grim  😩 ,grim   😩  ,grim   ,😩,😩,2
42895,i woke moody gon die today  😠 ,i woke moody gon die today   😠  ,i woke moody gon die today   ,😠,😠,2
42898,early thats interesting  😦  wonder it excited,early thats interesting   😦   wonder it excited,early thats interesting    wonder it excited,😦,😦,2
42900, 🤦🏻‍♀️  we and basically choice trump pence al  🤢 ,  🤦  🏻 ‍ ♀ ️  we and basically choice trump pence al   🤢  , ‍️  we and basically choice trump pence al   ,🤦 🏻 ♀ 🤢,,2
42903,me start semester mids passing quit  😡 ,me start semester mids passing quit   😡  ,me start semester mids passing quit   ,😡,😡,2
42913,my neck hurting  😥 ,my neck hurting   😥  ,my neck hurting   ,😥,😥,2
59859,went bed fell asleep niece crying dying  😧 ,went bed fell asleep niece crying dying   😧  ,went bed fell asleep niece crying dying   ,😧,😧,2
59862,stop discourage people  🙈 ,stop discourage people   🙈  ,stop discourage people   ,🙈,,2
59863,u lucky ahu  😭 ,u lucky ahu   😭  ,u lucky ahu   ,😭,😭,2
59864,wed fuming  😡 ,wed fuming   😡  ,wed fuming   ,😡,😡,2
59866,head hurting  😤 ,head hurting   😤  ,head hurting   ,😤,😤,2
59883,sir need umbrella today evening sun pave way  😟 ,sir need umbrella today evening sun pave way   😟  ,sir need umbrella today evening sun pave way   ,😟,,2
59887,unhappy unfulfilled  😂 ,unhappy unfulfilled   😂  ,unhappy unfulfilled   ,😂,😂,2
59892,same  ☹ ,same   ☹  ,same   ,☹,☹,2
59894,loving book the power game changer if big land  🌠 ,loving book the power game changer if big land   🌠  ,loving book the power game changer if big land   ,🌠,,2
59908,cant handle rude people doesnt matter job consultant treat people like  😡 ,cant handle rude people doesnt matter job consultant treat people like   😡  ,cant handle rude people doesnt matter job consultant treat people like   ,😡,😡,2
59910,worst  😥 ,worst   😥  ,worst   ,😥,😥,2
59911,hello welcome deeply sorry late greeting  😥  wishing pleasant,hello welcome deeply sorry late greeting   😥   wishing pleasant,hello welcome deeply sorry late greeting    wishing pleasant,😥,😥,2
59916,anxious dont know worry  😶  slowly going mad,anxious dont know worry   😶   slowly going mad,anxious dont know worry    slowly going mad,😶,,2
59932,cant believe zain starting secondary year  😢 ,cant believe zain starting secondary year   😢  ,cant believe zain starting secondary year   ,😢,😢,2
59936,tweet grammatical error  😱 ,tweet grammatical error   😱  ,tweet grammatical error   ,😱,😱,2
59941,imagine walking sober  😉 ,imagine walking sober   😉  ,imagine walking sober   ,😉,😉,2
59949,sext horny ass naughty pussy  😩  horny snap,sext horny ass naughty pussy   😩   horny snap,sext horny ass naughty pussy    horny snap,😩,😩,2
59952,dont upset  😢 ,dont upset   😢  ,dont upset   ,😢,😢,2
59960,past test exam  😥 ,past test exam   😥  ,past test exam   ,😥,😥,2
59964,i want digital art bad dad wont let use till  😂 ,i want digital art bad dad wont let use till   😂  ,i want digital art bad dad wont let use till   ,😂,😂,2
59965,wow i hope win  😭  thanks  😊 ,wow i hope win   😭   thanks   😊  ,wow i hope win    thanks   ,😭 😊,😭 😊,2
59967,she mad hung  😂 ,she mad hung   😂  ,she mad hung   ,😂,😂,2
59972,like i set car long gone  😭 ,like i set car long gone   😭  ,like i set car long gone   ,😭,😭,2
59981,if going nurse learn nice patient person  🙃 ,if going nurse learn nice patient person   🙃  ,if going nurse learn nice patient person   ,🙃,,2
59982,work going kill oclock near  😟 ,work going kill oclock near   😟  ,work going kill oclock near   ,😟,,2
59985,dreadful  👀 ,dreadful   👀  ,dreadful   ,👀,,2
60008,working hard social feel amazing  💕 ,working hard social feel amazing   💕  ,working hard social feel amazing   ,💕,💕,2
60014,bastard  😡 ,bastard   😡  ,bastard   ,😡,😡,2
60023,ass  😤 ,ass   😤  ,ass   ,😤,😤,2
60027,just couple new found glory great start birthday weekend  👊 ,just couple new found glory great start birthday weekend   👊  ,just couple new found glory great start birthday weekend   ,👊,,2
60029, 😭 ,  😭  ,  ,😭,😭,2
60030,what miserable ass weather  😭  dark gloomy depressing,what miserable ass weather   😭   dark gloomy depressing,what miserable ass weather    dark gloomy depressing,😭,😭,2
60035,everything i order comes looking like piece  😤 ,everything i order comes looking like piece   😤  ,everything i order comes looking like piece   ,😤,😤,2
60036,cant drink day u dont start morning drake  😛 ,cant drink day u dont start morning drake   😛  ,cant drink day u dont start morning drake   ,😛,😛,2
